LEMMA,CHAPTER
ab,7
abicio,38
absens,44
absum,18
accuso,47
accedo,4
accendo,27
accidit,26
accipio,9
acies,54
ad,3
adeo,43
adhuc,18
adicio,49
adimo,39
adiuvo,33
administro,33
admiratio,16
admiror,41
adsum,4
adulescens,48
advenio,5
adventus,29
adversus,32
aedes,21
aedificium,19
aedifico,11
aeger,23
aegroto,54
aequus,30
aerarium,40
aestas,45
aestimo,40
aetas,49
age,34
ager,3
agnosco,38
ago,19
aio,45
aliquamdiu,46
aliquando,38
aliquis,21
alius,5
alter,29
altus,19
ambo,53
ambulo,1
amicitial,41
amicus,4
amo,12
amor,12
amplus,46
an,29
animus,12
annus,18
ante,12
antea,34
antequam,34
antiquus,30
anxietas,23
anxius,3
aperio,19
apertus,19
appareo,52
appello,20
apud,47
aqua,2
ara,52
arbor,13
arcesso,30
ardeo,26
argentum,28
arma,11
armatus,26
arripio,45
ars,43
ascend,3
assequor,49
at,45
atque,32
atrium,21
auctoritas,44
audeo,40
audio,3
augeo,27
aura,13
aureus,52
auris,45
aurum,41
aut,12
autem,47
auxilium,15
averto,44
avis,41
balnea,23
barbarous,49
beatus,41
bellum,11
bene,8
benignus,27
bibo,9
bis,51
bona,32
bonus,5
brevis,25
cado,3
caelum,10
campus,25
candidatus,17
candidus,17
canis,7
cano,14
canto,44
capio,7
captivus,48
caput,26
carcer,48
carmen,14
carpo,42
carus,7
casa,1
castra,11
casus,22
causa,26
causa,50
cautus,33
caveo,24
cedo,49
celebro,52
celeritas,23
celeriter,6
celo,36
cena,1
ceno,1
centurio,14
certus,33
cesso,35
ceteri,6
chorus,30
cibus,3
circa,46
circum,8
circumvenio,15
civilis,27
civis,15
clades,37
clam,32
clamo,5
clamor,10
clarus,21
classis,47
claudo,19
clementia,47
cliens,24
coepi,54
cogito,37
cognosco,11
cogo,32
colligo,27
collis,11
colloco,47
colloquium,41
colloquor,41
colo,13
colonus,3
comes,7
comitor,44
committo,33
commotus,12
comparo,32
complector,38
comprehendo,48
condo,29
confectus,19
conficio,21
confide,29
confirmo,49
confugio,47
conicio,8
coniungo,36
conor,36
conscendo,9
consensus,49
consilium,11
consisto,32
consolor,36
conspectus,24
conspicio,18
constituo,6
consul,15
contemno,40
contend,14
contentus,22
continuo,19
convenio,9
conviva,42
convivium,42
convoco,7
copiae,32
cor,53
cornu,37
corona,42
corripio,32
cotidie,21
cras,27
credo,17
cresco,28
crudelis,24
cubo,38
cum,5
cum,17
cum,28
cunctus,54
cupio,6
cur,4
curo,4
curro,3
currus,22
cursus,22
custodio,16
custos,16
de,10
de,15
dea,12
debeo,7
dedecus,48
dedo,15
defendo,7
deinde,17
delecto,30
deleo,49
demitto,48
denique,24
depono,13
desiderium,50
desidero,50
desino,36
despero,12
despicio,34
desum,43
deus,12
dexter,28
dextra,28
dico,5
dictator,15
dies,18
difficilis,19
difficultas,38
dignus,16
diligenter,6
diligentia,25
diligo,43
dimitto,6
dirus,38
discedo,17
disciplina,35
discipulus,20
disco,18
discurro,44
dissero,31
diu,4
dives,30
divido,32
divinus,13
divitiae,17
do,5
doceo,6
doctrina,51
doctus,29
doleo,51
dolor,33
dolus,48
domina,13
dominor,47
dominus,21
domum,6
donec,35
dono,42
donum,30
dormio,4
dubito,34
dubius,30
duco,3
dulcis,29
dum,11
duo,5
ex,8
edo,28
efficio,17
ego,6
egredior,36
elabor,42
emo,5
enim,17
eo1,6
eo2,14
epistola,21
eques,31
equites,31
equito,47
ergo,27
erro,11
et,1
etiam,12
evado,16
everto,32
excito,13
exemplum,16
exeo,6
exerceo,14
exitium,27
expello,31
exsilium,49
exspecto,8
extra,19
fabula,2
facile,20
facilis,20
facilitas,25
facio,5
fama,11
fames,47
familia,14
fas,49
fatum,40
faveo,22
femina,1
ferio,26
fero,11
ferox,24
ferrum,32
fessus,1
festino,1
fidelis,46
filia,2
filiolus,33
filius,3
finis,31
fines,31
fio,24
fleo,18
flos,14
fluctus,47
flumen,16
fluo,46
foedus,16
for,43
forma,13
forsitan,39
forte,35
fortis,7
fortiter,7
fractus,22
frango,22
frater,7
frigidus,54
frigus,46
frumentum,16
fruor,41
fugio,7
fundus,46
futura,38
gaudeo,9
gens,49
genus,24
gero,14
gladius,26
gloria,14
gradus,20
gratiae,20
gratus,29
gravis,17
habeo,9
habito,10
hasta,8
haud,15
heri,30
hic2,8
hic,15
hiems,12
hilaris,31
hodie,14
hodiernus,51
homo,10
honestus,33
honor,43
hora,17
horreo,41
hortus,5
hospes,53
hostis,11
huc,8
humanus,29
iaceo,5
iacio,7
iam,4
iamdudum,45
ianua,6
ibi,12
idem,31
igitur,17
ignis,18
ignosco,40
ignotus,11
ille,4
imber,44
immemor,38
immineo,33
immortalis,31
imperator,14
imperium,12
impero,11
impius,36
improbus,45
in,2
in,5
incito,51
incolumis,8
inde,28
indignus,43
induo,20
ineo,18
infans,33
infelix,12
infirmus,41
ingens,9
ingeniosus,21
ingenium,21
ingredior,36
inimicus,24
initium,52
inquit,3
insignis,25
insula,9
insum,23
intellego,20
inter,9
interdum,39
interficio,37
intersum,21
interea,12
intimus,45
intro,1
intueor,38
invenio,11
invideo,13
invidia,45
invisus,54
invitus,19
ipse,15
ira,7
irascor,48
iratus,2
is,14
ita,43
itaque,6
iter,18
iterum,6
iubeo,6
iucundus,29
iudicium,45
Iuppiter,19
ius,25
iuvenis,14
iuvo,2
labor,36
labor2,9
laboro,1
lacrima,18
laetus,1
lateo,48
latus1,21
latus2,34
laudo,2
lavo,14
legatus,32
legio,14
lego,17
lenis,46
lente,4
levis,41
lex,25
libenter,29
liber4,20
liber1,16
liberalis,54
libero,16
libertas,31
licet,49
limen,30
littera,6
litterae,25
litus,10
locus,14
longe,18
longus,18
loquor,36
luceo,25
ludo,6
ludus,4
ludi,22
lumen,30
luna,28
lux,13
lyra,40
maestus,50
magister,6
magnopere,24
magnus,4
maiores,54
mala,36
malo,23
malus,5
mane,27
maneo,3
manus,20
maritus,13
mater,8
maximus,22
meditor,45
medius,19
memini,50
memor,38
mens,44
mensis,33
mereo,46
meridies,21
meus,6
miles,14
militaris,35
militia,42
milito,31
minor,49
miror,50
mirus,40
miser,4
mitto,3
modestus,50
modicus,53
modus,52
moenia,15
mollis,51
moneo,9
mons,10
mora,23
morbus,47
morior,36
moror,36
mors,8
mortalis,41
mortuus,8
mos,30
mox,1
mulier,47
multitudo,25
multus,4
munus,46
murus,8
muto,50
nam,3
namque,44
narro,2
nascor,43
nauta,10
navigo,7
navis,7
ne,34
nec,5
nefas,49
nego,41
negotium,29
nemo,13
nescio,39
nescioquis,45
nihil,44
nil,44
nimium,23
nisi,29
nobilis,22
noctu,38
nocturnus,53
nolo,15
nomen,11
non,1
nonnulli,31
nonnumquam,51
notus,11
novus,9
nox,9
nubes,28
nubo,30
nullus,13
num,26
num,39
numero,24
numerus,17
numquam,13
nunc,12
nuntius,12
nuper,30
nuptiae,30
nuptialis,30
obliviscor,54
obses,16
obsideo,47
occido,34
occido,7
occupo,32
occurro,11
